day,fold,T,tau_star,tau_robust,NB_star,NB_robust,NB_low90_at_robust,max_NB_point,max_NB_low90,NB_all_at_star,NB_all_at_robust,prevalence,treat_rate_star,treat_rate_rob
4,4,100,0.05,0.05,0.04157020116273088,0.04157020116273088,0.031664981137639096,0.04157020116273088,0.031664981137639096,0.09039460822143333,0.09039460822143333,0.13587487781036167,0.10948191593352884,0.10948191593352884
4,5,75,0.05,0.05,0.12094395280235987,0.12094395280235987,0.104735243298865,0.12094395280235987,0.104735243298865,0.19888216115510016,0.19888216115510016,0.23893805309734514,0.2586037364798427,0.2586037364798427
4,5,100,0.05,0.05,0.04067691352274491,0.04067691352274491,0.031030378495580914,0.04067691352274491,0.031030378495580914,0.09227345650261347,0.09227345650261347,0.1376597836774828,0.11209439528023599,0.11209439528023599
5,1,75,0.05,0.05,0.10444952962115434,0.10444952962115434,0.08872734134145144,0.10444952962115434,0.08872734134145144,0.1955250444952962,0.1955250444952962,0.2357487922705314,0.2570048309178744,0.2570048309178744
5,1,100,0.05,0.05,0.03946097126875159,0.03946097126875159,0.029802853564087968,0.03946097126875159,0.029802853564087968,0.08263412153572336,0.08263412153572336,0.1285024154589372,0.11980676328502415,0.11980676328502415
5,2,75,0.05,0.05,0.13407792737658097,0.13407792737658097,0.11649769901845526,0.13407792737658097,0.11649769901845526,0.2248062015503876,0.2248062015503876,0.26356589147286824,0.2625968992248062,0.2625968992248062
5,2,100,0.05,0.05,0.059312525499796,0.059312525499796,0.0466865032955729,0.059312525499796,0.0466865032955729,0.1044471644226846,0.1044471644226846,0.14922480620155038,0.13275193798449614,0.13275193798449614
5,3,75,0.05,0.05,0.1265615400368626,0.1265615400368626,0.10891724263359959,0.1265615400368626,0.10891724263359959,0.19107106287118575,0.19107106287118575,0.23151750972762647,0.2607003891050584,0.2607003891050584
5,3,100,0.05,0.05,0.05206840057341798,0.05206840057341798,0.04158899557457526,0.05206840057341798,0.04158899557457526,0.09686668031947573,0.09686668031947573,0.14202334630350194,0.11964980544747082,0.11964980544747082
5,4,75,0.05,0.05,0.12959818902093945,0.12959818902093945,0.11145667883548993,0.12959818902093945,0.11145667883548993,0.2138704532592478,0.2138704532592478,0.25317693059628543,0.23558162267839688,0.23558162267839688
5,4,100,0.05,0.05,0.041312959818902095,0.041312959818902095,0.03115040331903789,0.041312959818902095,0.03115040331903789,0.09039460822143333,0.09039460822143333,0.13587487781036167,0.11436950146627566,0.11436950146627566
5,5,75,0.05,0.05,0.11737307871448532,0.11737307871448532,0.1025304234036214,0.11737307871448532,0.1025304234036214,0.19888216115510016,0.19888216115510016,0.23893805309734514,0.24778761061946902,0.24778761061946902
5,5,100,0.05,0.05,0.04502406458624437,0.04502406458624437,0.03591975052391948,0.04502406458624437,0.03591975052391948,0.09227345650261347,0.09227345650261347,0.1376597836774828,0.10816125860373647,0.10816125860373647
6,1,75,0.05,0.05,0.10541571319603356,0.10541571319603356,0.0907745058257045,0.10541571319603356,0.0907745058257045,0.1955250444952962,0.1955250444952962,0.2357487922705314,0.2579710144927536,0.2579710144927536
6,1,100,0.05,0.05,0.03915586066615815,0.03915586066615815,0.028695575012504217,0.03915586066615815,0.028695575012504217,0.08263412153572336,0.08263412153572336,0.1285024154589372,0.12560386473429952,0.12560386473429952
6,2,75,0.05,0.05,0.13015095879232966,0.13015095879232966,0.1136538746991922,0.13015095879232966,0.1136538746991922,0.2248062015503876,0.2248062015503876,0.26356589147286824,0.25968992248062017,0.25968992248062017
6,2,100,0.05,0.05,0.058343533251733984,0.058343533251733984,0.04692499630125525,0.058343533251733984,0.04692499630125525,0.1044471644226846,0.1044471644226846,0.14922480620155038,0.13178294573643412,0.13178294573643412
6,3,75,0.05,0.05,0.12220970714724556,0.12220970714724556,0.10614130242199295,0.12220970714724556,0.10614130242199295,0.19107106287118575,0.19107106287118575,0.23151750972762647,0.26556420233463035,0.26556420233463035
6,3,100,0.05,0.05,0.051146835961499076,0.051146835961499076,0.04026612206686639,0.051146835961499076,0.04026612206686639,0.09686668031947573,0.09686668031947573,0.14202334630350194,0.11770428015564202,0.11770428015564202
6,4,75,0.05,0.05,0.14024798065545097,0.14024798065545097,0.123716331722413,0.14024798065545097,0.123716331722413,0.2138704532592478,0.2138704532592478,0.25317693059628543,0.2678396871945259,0.2678396871945259
6,4,100,0.05,0.05,0.046766476308072236,0.046766476308072236,0.036410302025670555,0.046766476308072236,0.036410302025670555,0.09039460822143333,0.09039460822143333,0.13587487781036167,0.12805474095796676,0.12805474095796676
6,5,75,0.05,0.05,0.1215132225844848,0.1215132225844848,0.10438156236988247,0.1215132225844848,0.10438156236988247,0.19888216115510016,0.19888216115510016,0.23893805309734514,0.24778761061946902,0.24778761061946902
6,5,100,0.05,0.05,0.04766340630336904,0.04766340630336904,0.037083610457784015,0.04766340630336904,0.037083610457784015,0.09227345650261347,0.09227345650261347,0.1376597836774828,0.11701081612586037,0.11701081612586037
7,1,75,0.05,0.05,0.1079583015509789,0.1079583015509789,0.09283064589387204,0.1079583015509789,0.09283064589387204,0.1955250444952962,0.1955250444952962,0.2357487922705314,0.26763285024154587,0.26763285024154587
7,1,100,0.05,0.05,0.043478260869565216,0.043478260869565216,0.032653809026663254,0.043478260869565216,0.032653809026663254,0.08263412153572336,0.08263412153572336,0.1285024154589372,0.14009661835748793,0.14009661835748793
7,2,75,0.05,0.05,0.13708690330477358,0.13708690330477358,0.12021223620897552,0.13708690330477358,0.12021223620897552,0.2248062015503876,0.2248062015503876,0.26356589147286824,0.26356589147286824,0.26356589147286824
7,2,100,0.05,0.05,0.06104651162790698,0.06104651162790698,0.049605378080259124,0.06104651162790698,0.049605378080259124,0.1044471644226846,0.1044471644226846,0.14922480620155038,0.1385658914728682,0.1385658914728682
7,3,75,0.05,0.05,0.12845586729469588,0.12845586729469588,0.11193040315974508,0.12845586729469588,0.11193040315974508,0.19107106287118575,0.19107106287118575,0.23151750972762647,0.26361867704280156,0.26361867704280156
7,3,100,0.05,0.05,0.057546590210935895,0.057546590210935895,0.04688110495803252,0.057546590210935895,0.04688110495803252,0.09686668031947573,0.09686668031947573,0.14202334630350194,0.13229571984435798,0.13229571984435798
7,4,75,0.05,0.05,0.14271749755620725,0.14271749755620725,0.12212232240129542,0.14271749755620725,0.12212232240129542,0.2138704532592478,0.2138704532592478,0.25317693059628543,0.260019550342131,0.260019550342131
