threshold,MCC,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,TP,TN,FP,FN
0.35000000000000003,0.7008711270444181,0.9328140214216164,0.8332282559291211,0.7838383838383839,0.696588868940754,0.9698676429174881,0.7376425855513309,388,3444,107,169
0.33,0.6978426437167234,0.9313534566699123,0.8369245874553253,0.7680311890838206,0.7073608617594255,0.966488313151225,0.7364485981308411,394,3432,119,163
0.34,0.6967530556757998,0.9315968841285297,0.8332810895557778,0.7749003984063745,0.6983842010771992,0.9681779780343566,0.7346553352219074,389,3438,113,168
0.32,0.6930549577694706,0.9298928919182083,0.8368366156750544,0.7581573896353166,0.7091561938958707,0.9645170374542382,0.7328385899814471,395,3425,126,162
0.31,0.6922596189606784,0.928919182083739,0.840814558015114,0.7467411545623837,0.7199281867145422,0.9617009293156857,0.7330895795246801,401,3415,136,156
0.3,0.6873978922490943,0.9272151898734177,0.8413426414892106,0.7354014598540146,0.7235188509874326,0.9591664319909885,0.7294117647058823,403,3406,145,154
0.29000000000000004,0.6806356800436185,0.9250243427458618,0.8408322534881569,0.7227191413237924,0.725314183123878,0.9563503238524359,0.7240143369175627,404,3396,155,153
0.28,0.6748316095769193,0.9225900681596884,0.8424516420640606,0.707105719237435,0.7324955116696589,0.9524077724584624,0.7195767195767195,408,3382,169,149
0.27,0.6731236440772731,0.9213729308666018,0.8447750576746025,0.6983050847457627,0.7396768402154399,0.9498732751337652,0.7183958151700087,412,3373,178,145
0.26,0.6682702491678453,0.9194255111976631,0.8451623357417715,0.6877076411960132,0.7432675044883303,0.9470571669952126,0.7144089732528042,414,3363,188,143
0.25,0.6641498316611891,0.9174780915287244,0.8463064744702354,0.676948051948052,0.748653500897666,0.9439594480428048,0.7109974424552429,417,3352,199,140
0.24000000000000002,0.660692606295585,0.9152872444011685,0.8488235291143618,0.6645669291338583,0.7576301615798923,0.9400168966488314,0.7080536912751678,422,3338,213,135
0.23,0.6554581142591955,0.9121226874391432,0.8515342227920726,0.6484848484848484,0.7684021543985637,0.9346662911855815,0.7033689400164338,428,3319,232,129
0.22,0.6418439577642587,0.9060370009737099,0.8510415302640619,0.6233766233766234,0.7755834829443446,0.9264995775837792,0.6911999999999999,432,3290,261,125
0.21000000000000002,0.6346366515675523,0.9021421616358325,0.8518160863983999,0.6080892608089261,0.7827648114901257,0.9208673613066741,0.6844583987441131,436,3270,281,121
0.2,0.629142429812749,0.8984907497565725,0.8534883086009606,0.5943396226415094,0.7917414721723519,0.9152351450295692,0.6789838337182448,441,3250,301,116
0.19,0.6257401770459862,0.8955696202531646,0.8555829470243039,0.5837696335078534,0.800718132854578,0.9104477611940298,0.6752460257380772,446,3233,318,111
