day,feature
20,"category_mapRent, Food & Monthly Bills"
20,category_mapSports
20,category_mapTravel
20,category_mapVolunteer
20,category_mapWishes
20,goal_category>50K
20,goal_category20K-50K
20,goal_category5K-20K
20,duration_category>90gg
20,duration_category30-60gg
20,duration_category60-90gg
20,pct_goal_cum_d18
20,pct_goal_cum_d19
20,pct_goal_cum_d20
20,donors_cum_d18
20,donors_cum_d19
20,donors_cum_d20
20,pct_goal_speed
20,donors_speed
