threshold,MCC,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,TP,TN,FP,FN
0.25,0.2357977290773712,0.8303310613437196,0.6112241374341665,0.3559670781893004,0.3105924596050269,0.9118558152633061,0.3317353787152445,173,3238,313,384
0.22,0.2354867031460047,0.807935735150925,0.6255170238034448,0.32153846153846155,0.3752244165170557,0.8758096310898339,0.34631317315658655,209,3110,441,348
0.24000000000000002,0.2331239884298841,0.822541382667965,0.6150438316867275,0.34074074074074073,0.3303411131059246,0.8997465502675303,0.3354603463992707,184,3195,356,373
0.21000000000000002,0.23260852152572153,0.7972249269717624,0.6291607744954641,0.30833333333333335,0.3985637342908438,0.8597578147000845,0.34768989819890367,222,3053,498,335
0.4,0.23252797944565046,0.867332035053554,0.5645090997706161,0.538961038961039,0.1490125673249551,0.9800056322162771,0.23347398030942335,83,3480,71,474
0.43,0.23181389454793735,0.8692794547224927,0.5588237970743821,0.578125,0.13285457809694792,0.98479301605181635,0.21605839416058395,74,3497,54,483
0.41000000000000003,0.22865876422003825,0.8678188899707887,0.5610064072779963,0.5492957746478874,0.1400359066427289,0.9819769079132639,0.22317596566523606,78,3487,64,479
0.42000000000000004,0.2260797735846436,0.8678188899707887,0.5594926859554064,0.5507246376811594,0.13644524236983843,0.9825401295409744,0.21870503597122304,76,3489,62,481
0.19,0.2248210619651603,0.7682570593963,0.6358676115712215,0.2807991120976693,0.4542190305206463,0.8175161926217966,0.34705075445816197,253,2903,648,304
0.46,0.22468360172456717,0.870253164556962,0.5510615514278477,0.6176470588235294,0.11310592459605028,0.9890171782596452,0.19119878603945373,63,3512,39,494
0.2,0.22439583157379425,0.7821324245374879,0.6302700278627863,0.2908415841584158,0.42190305206463197,0.8386370036609406,0.34432234432234426,235,2978,573,322
0.45,0.21904383972412553,0.8690360272638754,0.5518712457157996,0.5855855855855856,0.11669658886894076,0.9870459025626585,0.19461077844311375,65,3505,46,492
0.44,0.21842179794131492,0.8683057448880234,0.5537194114789017,0.5666666666666667,0.12208258527827648,0.9853562376795268,0.20088626292466763,68,3499,52,489
0.47000000000000003,0.21642775048919274,0.8697663096397273,0.5477524979688125,0.6145833333333334,0.1059245960502693,0.9895803998873557,0.18070444104134764,59,3514,37,498
0.18000000000000002,0.20820105991728724,0.749269717624148,0.6301828144599316,0.2618328298086606,0.466786355475763,0.7935792734441003,0.3354838709677419,260,2818,733,297
0.48000000000000004,0.20659825660789077,0.8692794547224927,0.5436865838484822,0.6136363636363636,0.09694793536804308,0.9904252323289214,0.16744186046511628,54,3517,34,503
0.17,0.19634892384949135,0.7254138266796495,0.6277367945004492,0.24531668153434433,0.49371633752244165,0.7617572514784567,0.32777115613825986,275,2705,846,282
0.49,0.194435363627551,0.8685491723466408,0.5394798643212244,0.6049382716049383,0.08797127468581688,0.9909884539566319,0.1536050156739812,49,3519,32,508
0.16,0.19141361189910172,0.702288218111003,0.6287406334069296,0.23444976076555024,0.5278276481149012,0.7296536186989581,0.3246824958586416,294,2591,960,263
0.14,0.19043337410633004,0.6548198636806232,0.6345854481530224,0.2199089134677944,0.6068222621184919,0.6623486341875529,0.3228271251193887,338,2352,1199,219
0.15000000000000002,0.18864570092953695,0.678919182083739,0.6303605275677775,0.22589928057553957,0.5637342908438061,0.6969867642917488,0.32254750898818696,314,2475,1076,243
0.5,0.18551917322779232,0.8683057448880234,0.5355547556078218,0.6111111111111112,0.07899461400359066,0.9921148972120529,0.1399046104928458,44,3523,28,513
0.13,0.1763673143747539,0.6195228821811101,0.6270352953905316,0.20687645687645687,0.6373429084380611,0.616727682343002,0.3123625164980202,355,2190,1361,202
0.51,0.1740981080747986,0.8678188899707887,0.5314888414874915,0.609375,0.07001795332136446,0.9929597296536187,0.12560386473429952,39,3526,25,518
