day,T,NB_star_mean,NB_robust_mean,NB_low90_rob_mean,max_NB_point_mean,max_NB_low90_mean,prevalence_mean,day_next,U_now,U_next,VOI,wait_k,utility_used
11,75,0.12908352368168574,0.12908352368168574,0.1116002589327277,0.12908352368168574,0.1116002589327277,0.24458943543293132,14,0.12908352368168574,0.13367130596310717,-0.0014122177185785737,3,max_NB_point_mean
12,75,0.1320772601151557,0.1320772601151557,0.11485649554593184,0.1320772601151557,0.11485649554593184,0.24458943543293132,15,0.1320772601151557,0.13039903705030212,-0.0076782230648535735,3,max_NB_point_mean
13,75,0.1355885173064228,0.1355885173064228,0.11844323500933548,0.1355885173064228,0.11844323500933548,0.24458943543293132,16,0.1355885173064228,0.130943776620984,-0.010644740685438797,3,max_NB_point_mean
14,75,0.13367130596310717,0.13367130596310717,0.1165763931197682,0.13367130596310717,0.1165763931197682,0.24458943543293132,17,0.13367130596310717,0.13694420654873354,-0.002727099414373624,3,max_NB_point_mean
15,75,0.13039903705030212,0.13039903705030212,0.11357856006954825,0.13039903705030212,0.11357856006954825,0.24458943543293132,18,0.13039903705030212,0.1346624988619099,-0.001736538188392223,3,max_NB_point_mean
16,75,0.130943776620984,0.130943776620984,0.11320664184605704,0.130943776620984,0.11320664184605704,0.24458943543293132,19,0.130943776620984,0.1323395375156847,-0.004604239105299302,3,max_NB_point_mean
17,75,0.13694420654873354,0.13694420654873354,0.11778132095899045,0.13694420654873354,0.11778132095899045,0.24458943543293132,20,0.13694420654873354,0.13329496558264503,-0.009649240966088513,3,max_NB_point_mean
1,100,0.024709522355504016,0.024709522355504016,0.017139369692492967,0.024709522355504016,0.017139369692492967,0.1386570458903668,2,0.024709522355504016,0.03892462893071449,0.012215106575210471,1,max_NB_point_mean
2,100,0.03892462893071449,0.03892462893071449,0.02851669892973967,0.03892462893071449,0.02851669892973967,0.1386570458903668,3,0.03892462893071449,0.04217712238387466,0.0012524934531601712,1,max_NB_point_mean
3,100,0.04217712238387466,0.04217712238387466,0.03199655311905468,0.04217712238387466,0.03199655311905468,0.1386570458903668,4,0.04217712238387466,0.047388485531175355,0.003211363147300696,1,max_NB_point_mean
4,100,0.047388485531175355,0.047388485531175355,0.03662689016703738,0.047388485531175355,0.03662689016703738,0.1386570458903668,5,0.047388485531175355,0.04743578434942241,-0.0019527011817529454,1,max_NB_point_mean
5,100,0.04743578434942241,0.04743578434942241,0.037029701255438696,0.04743578434942241,0.037029701255438696,0.1386570458903668,6,0.04743578434942241,0.048615222498166494,-8.205618512559156e-4,1,max_NB_point_mean
6,100,0.048615222498166494,0.048615222498166494,0.037876121172816087,0.048615222498166494,0.037876121172816087,0.1386570458903668,7,0.048615222498166494,0.049832197755931784,-7.830247422347097e-4,1,max_NB_point_mean
7,100,0.049832197755931784,0.049832197755931784,0.039083332035577956,0.049832197755931784,0.039083332035577956,0.1386570458903668,8,0.049832197755931784,0.04676126934886449,-0.005070928407067297,1,max_NB_point_mean
8,100,0.04676126934886449,0.04676126934886449,0.03547588250356955,0.04676126934886449,0.03547588250356955,0.1386570458903668,9,0.04676126934886449,0.04936372408573788,6.024547368733927e-4,1,max_NB_point_mean
9,100,0.04936372408573788,0.04936372408573788,0.03884487015956716,0.04936372408573788,0.03884487015956716,0.1386570458903668,10,0.04936372408573788,0.05083370205381016,-5.300220319277207e-4,1,max_NB_point_mean
10,100,0.05083370205381016,0.05083370205381016,0.039570144813508894,0.05083370205381016,0.039570144813508894,0.1386570458903668,11,0.05083370205381016,0.0485040787731474,-0.00432962328066276,1,max_NB_point_mean
11,100,0.0485040787731474,0.0485040787731474,0.0377030923850955,0.0485040787731474,0.0377030923850955,0.1386570458903668,12,0.0485040787731474,0.048290559678356514,-0.002213519094790886,1,max_NB_point_mean
12,100,0.048290559678356514,0.048290559678356514,0.03757850842060689,0.048290559678356514,0.03757850842060689,0.1386570458903668,13,0.048290559678356514,0.051056338915386607,7.657792370300929e-4,1,max_NB_point_mean
13,100,0.051056338915386607,0.051056338915386607,0.03957768414465228,0.051056338915386607,0.03957768414465228,0.1386570458903668,14,0.051056338915386607,0.0507875939862965,-0.002268744929090105,1,max_NB_point_mean
14,100,0.0507875939862965,0.0507875939862965,0.038974596680300934,0.0507875939862965,0.038974596680300934,0.1386570458903668,15,0.0507875939862965,0.04789691322158601,-0.004890680764710489,1,max_NB_point_mean
15,100,0.04789691322158601,0.04789691322158601,0.037274194430824435,0.04789691322158601,0.037274194430824435,0.1386570458903668,16,0.04789691322158601,0.04675121326428516,-0.0031456999573008498,1,max_NB_point_mean
16,100,0.04675121326428516,0.04675121326428516,0.03632261713647429,0.04675121326428516,0.03632261713647429,0.1386570458903668,17,0.04675121326428516,0.05226054352913537,0.003509330264850204,1,max_NB_point_mean
17,100,0.05226054352913537,0.05226054352913537,0.04088296070314469,0.05226054352913537,0.04088296070314469,0.1386570458903668,18,0.05226054352913537,0.05350750401643586,-7.530395126995101e-4,1,max_NB_point_mean
18,100,0.05350750401643586,0.05350750401643586,0.04154534111741342,0.05350750401643586,0.04154534111741342,0.1386570458903668,19,0.05350750401643586,0.05065534244823654,-0.00485216156819932,1,max_NB_point_mean
19,100,0.05065534244823654,0.05065534244823654,0.03923469562921063,0.05065534244823654,0.03923469562921063,0.1386570458903668,20,0.05065534244823654,0.051857564980241584,-7.977774679949531e-4,1,max_NB_point_mean
1,100,0.024709522355504016,0.024709522355504016,0.017139369692492967,0.024709522355504016,0.017139369692492967,0.1386570458903668,3,0.024709522355504016,0.04217712238387466,0.013467600028370642,2,max_NB_point_mean
2,100,0.03892462893071449,0.03892462893071449,0.02851669892973967,0.03892462893071449,0.02851669892973967,0.1386570458903668,4,0.03892462893071449,0.047388485531175355,0.004463856600460867,2,max_NB_point_mean
3,100,0.04217712238387466,0.04217712238387466,0.03199655311905468,0.04217712238387466,0.03199655311905468,0.1386570458903668,5,0.04217712238387466,0.04743578434942241,0.0012586619655477506,2,max_NB_point_mean
4,100,0.047388485531175355,0.047388485531175355,0.03662689016703738,0.047388485531175355,0.03662689016703738,0.1386570458903668,6,0.047388485531175355,0.048615222498166494,-0.002773263033008861,2,max_NB_point_mean
5,100,0.04743578434942241,0.04743578434942241,0.037029701255438696,0.04743578434942241,0.037029701255438696,0.1386570458903668,7,0.04743578434942241,0.049832197755931784,-0.0016035865934906253,2,max_NB_point_mean
6,100,0.048615222498166494,0.048615222498166494,0.037876121172816087,0.048615222498166494,0.037876121172816087,0.1386570458903668,8,0.048615222498166494,0.04676126934886449,-0.005853953149302007,2,max_NB_point_mean
